,cwe_id,correctly_predicted,all,accuracy
0,CWE-119,95,386,0.24611398963730569
1,CWE-125,54,170,0.3176470588235294
2,CWE-401,1,16,0.0625
3,CWE-399,29,60,0.48333333333333334
4,CWE-189,18,44,0.4090909090909091
5,CWE-834,3,5,0.6
6,CWE-416,22,55,0.4
7,CWE-20,57,152,0.375
8,CWE-000,46,121,0.38016528925619836
9,CWE-400,14,32,0.4375
10,CWE-835,4,15,0.26666666666666666
11,CWE-787,11,53,0.20754716981132076
12,CWE-476,25,70,0.35714285714285715
13,CWE-200,31,64,0.484375
14,CWE-17,4,10,0.4
15,CWE-862,0,2,0.0
16,CWE-763,2,3,0.6666666666666666
17,CWE-264,31,71,0.43661971830985913
18,CWE-362,20,54,0.37037037037037035
19,CWE-284,7,33,0.21212121212121213
20,CWE-19,4,14,0.2857142857142857
21,CWE-269,6,15,0.4
22,CWE-415,7,10,0.7
23,CWE-190,19,59,0.3220338983050847
24,CWE-59,4,14,0.2857142857142857
25,CWE-77,2,2,1.0
26,CWE-22,2,8,0.25
27,CWE-78,0,3,0.0
28,CWE-285,3,8,0.375
29,CWE-522,1,4,0.25
30,CWE-369,4,5,0.8
31,CWE-617,4,14,0.2857142857142857
32,CWE-310,5,14,0.35714285714285715
33,CWE-79,0,1,0.0
34,CWE-611,0,3,0.0
35,CWE-295,0,8,0.0
36,CWE-203,0,1,0.0
37,CWE-772,3,9,0.3333333333333333
38,CWE-120,2,14,0.14285714285714285
39,CWE-404,2,4,0.5
40,CWE-191,2,2,1.0
41,CWE-254,1,3,0.3333333333333333
42,CWE-552,1,4,0.25
43,CWE-287,1,6,0.16666666666666666
44,CWE-674,2,11,0.18181818181818182
45,CWE-770,0,1,0.0
46,CWE-639,0,1,0.0
47,CWE-172,0,1,0.0
48,CWE-444,0,2,0.0
49,CWE-74,0,2,0.0
50,CWE-352,0,2,0.0
51,CWE-89,2,5,0.4
52,CWE-252,0,3,0.0
53,CWE-824,1,2,0.5
54,CWE-134,2,5,0.4
55,CWE-908,1,5,0.2
56,CWE-436,1,1,1.0
57,CWE-668,0,1,0.0
58,CWE-326,0,2,0.0
59,CWE-346,0,1,0.0
60,CWE-755,0,1,0.0
61,CWE-358,1,2,0.5
62,CWE-667,1,1,1.0
63,CWE-732,1,2,0.5
64,CWE-918,0,1,0.0
65,CWE-18,0,1,0.0
66,CWE-255,0,2,0.0
67,CWE-347,0,2,0.0
68,CWE-354,0,1,0.0
69,CWE-388,1,1,1.0
70,CWE-129,1,2,0.5
71,CWE-704,0,2,0.0
72,CWE-706,1,1,1.0
73,CWE-665,0,1,0.0
